Date,G10001,P10100,P10101,P11100,P10200,P10201,P10004,T10000,G10101,G103001,T101100,T10101,T10005,F101000,F102000,G115001,G115011,M12070,M12071,M12072
11/08/16 15:56:06, 2625, 2625, 2625, 2625, 2625, 2625, 2625, 2625, 2625,12715, 262.50, 262.50, 262.50, 262.50, 262.50, 262.50, 262.50, 262.50, 262.50, 262.50
11/08/16 15:56:08, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630,12720, 263.00, 263.00, 263.00, 263.00, 263.00, 263.00, 263.00, 263.00, 263.00, 263.00
11/08/16 15:56:10, 2635, 2635, 2635, 2635, 2635, 2635, 2635, 2635, 2635,12725, 263.50, 263.50, 263.50, 263.50, 263.50, 263.50, 263.50, 263.50, 263.50, 263.50
11/08/16 15:56:12, 2640, 2640, 2640, 2640, 2640, 2640, 2640, 2640, 2640,12730, 264.00, 264.00, 264.00, 264.00, 264.00, 264.00, 264.00, 264.00, 264.00, 264.00
11/08/16 15:56:14, 2645, 2645, 2645, 2645, 2645, 2645, 2645, 2645, 2645,12735, 264.50, 264.50, 264.50, 264.50, 264.50, 264.50, 264.50, 264.50, 264.50, 264.50
11/08/16 15:56:16, 2650, 2650, 2650, 2650, 2650, 2650, 2650, 2650, 2650,12740, 265.00, 265.00, 265.00, 265.00, 265.00, 265.00, 265.00, 265.00, 265.00, 265.00
11/08/16 15:56:18, 2655, 2655, 2655, 2655, 2655, 2655, 2655, 2655, 2655,12745, 265.50, 265.50, 265.50, 265.50, 265.50, 265.50, 265.50, 265.50, 265.50, 265.50
11/08/16 15:56:20, 2660, 2660, 2660, 2660, 2660, 2660, 2660, 2660, 2660,12750, 266.00, 266.00, 266.00, 266.00, 266.00, 266.00, 266.00, 266.00, 266.00, 266.00
11/08/16 15:56:22, 2665, 2665, 2665, 2665, 2665, 2665, 2665, 2665, 2665,12755, 266.50, 266.50, 266.50, 266.50, 266.50, 266.50, 266.50, 266.50, 266.50, 266.50
11/08/16 15:56:24, 2670, 2670, 2670, 2670, 2670, 2670, 2670, 2670, 2670,12760, 267.00, 267.00, 267.00, 267.00, 267.00, 267.00, 267.00, 267.00, 267.00, 267.00
11/08/16 15:56:26, 2675, 2675, 2675, 2675, 2675, 2675, 2675, 2675, 2675,12765, 267.50, 267.50, 267.50, 267.50, 267.50, 267.50, 267.50, 267.50, 267.50, 267.50
11/08/16 15:56:28, 2680, 2680, 2680, 2680, 2680, 2680, 2680, 2680, 2680,12770, 268.00, 268.00, 268.00, 268.00, 268.00, 268.00, 268.00, 268.00, 268.00, 268.00
11/08/16 15:56:30, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685, 2685,12775, 268.50, 268.50, 268.50, 268.50, 268.50, 268.50, 268.50, 268.50, 268.50, 268.50
11/08/16 15:56:32, 2690, 2690, 2690, 2690, 2690, 2690, 2690, 2690, 2690,12780, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00, 269.00
11/08/16 15:56:34, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695, 2695,12785, 269.50, 269.50, 269.50, 269.50, 269.50, 269.50, 269.50, 269.50, 269.50, 269.50
11/08/16 15:56:36, 2700, 2700, 2700, 2700, 2700, 2700, 2700, 2700, 2700,12790, 270.00, 270.00, 270.00, 270.00, 270.00, 270.00, 270.00, 270.00, 270.00, 270.00
11/08/16 15:56:38, 2705, 2705, 2705, 2705, 2705, 2705, 2705, 2705, 2705,12795, 270.50, 270.50, 270.50, 270.50, 270.50, 270.50, 270.50, 270.50, 270.50, 270.50
11/08/16 15:56:40, 2710, 2710, 2710, 2710, 2710, 2710, 2710, 2710, 2710,12800, 271.00, 271.00, 271.00, 271.00, 271.00, 271.00, 271.00, 271.00, 271.00, 271.00
11/08/16 15:56:42, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715, 2715,12805, 271.50, 271.50, 271.50, 271.50, 271.50, 271.50, 271.50, 271.50, 271.50, 271.50
11/08/16 15:56:44, 2720, 2720, 2720, 2720, 2720, 2720, 2720, 2720, 2720,12810, 272.00, 272.00, 272.00, 272.00, 272.00, 272.00, 272.00, 272.00, 272.00, 272.00
11/08/16 15:56:46, 2725, 2725, 2725, 2725, 2725, 2725, 2725, 2725, 2725,12815, 272.50, 272.50, 272.50, 272.50, 272.50, 272.50, 272.50, 272.50, 272.50, 272.50
11/08/16 15:56:48, 2730, 2730, 2730, 2730, 2730, 2730, 2730, 2730, 2730,12820, 273.00, 273.00, 273.00, 273.00, 273.00, 273.00, 273.00, 273.00, 273.00, 273.00
11/08/16 15:56:50, 2735, 2735, 2735, 2735, 2735, 2735, 2735, 2735, 2735,12825, 273.50, 273.50, 273.50, 273.50, 273.50, 273.50, 273.50, 273.50, 273.50, 273.50
11/08/16 15:56:52, 2740, 2740, 2740, 2740, 2740, 2740, 2740, 2740, 2740,12830, 274.00, 274.00, 274.00, 274.00, 274.00, 274.00, 274.00, 274.00, 274.00, 274.00
11/08/16 15:56:54, 2745, 2745, 2745, 2745, 2745, 2745, 2745, 2745, 2745,12835, 274.50, 274.50, 274.50, 274.50, 274.50, 274.50, 274.50, 274.50, 274.50, 274.50
11/08/16 15:56:56, 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750,12840, 275.00, 275.00, 275.00, 275.00, 275.00, 275.00, 275.00, 275.00, 275.00, 275.00
11/08/16 15:56:58, 2755, 2755, 2755, 2755, 2755, 2755, 2755, 2755, 2755,12845, 275.50, 275.50, 275.50, 275.50, 275.50, 275.50, 275.50, 275.50, 275.50, 275.50
11/08/16 15:57:00, 2760, 2760, 2760, 2760, 2760, 2760, 2760, 2760, 2760,12850, 276.00, 276.00, 276.00, 276.00, 276.00, 276.00, 276.00, 276.00, 276.00, 276.00
11/08/16 15:59:49, 3185, 3185, 3185, 3185, 3185, 3185, 3185, 3185, 3185,13275, 318.50, 318.50, 318.50, 318.50, 318.50, 318.50, 318.50, 318.50, 318.50, 318.50
11/08/16 15:59:51, 3190, 3190, 3190, 3190, 3190, 3190, 3190, 3190, 3190,13280, 319.00, 319.00, 319.00, 319.00, 319.00, 319.00, 319.00, 319.00, 319.00, 319.00
11/08/16 15:59:53, 3195, 3195, 3195, 3195, 3195, 3195, 3195, 3195, 3195,13285, 319.50, 319.50, 319.50, 319.50, 319.50, 319.50, 319.50, 319.50, 319.50, 319.50
11/08/16 15:59:55, 3200, 3200, 3200, 3200, 3200, 3200, 3200, 3200, 3200,13290, 320.00, 320.00, 320.00, 320.00, 320.00, 320.00, 320.00, 320.00, 320.00, 320.00
11/08/16 15:59:57, 3205, 3205, 3205, 3205, 3205, 3205, 3205, 3205, 3205,13295, 320.50, 320.50, 320.50, 320.50, 320.50, 320.50, 320.50, 320.50, 320.50, 320.50
11/08/16 15:59:59, 3210, 3210, 3210, 3210, 3210, 3210, 3210, 3210, 3210,13300, 321.00, 321.00, 321.00, 321.00, 321.00, 321.00, 321.00, 321.00, 321.00, 321.00
11/08/16 16:00:01, 3215, 3215, 3215, 3215, 3215, 3215, 3215, 3215, 3215,13305, 321.50, 321.50, 321.50, 321.50, 321.50, 321.50, 321.50, 321.50, 321.50, 321.50
11/08/16 16:00:03, 3220, 3220, 3220, 3220, 3220, 3220, 3220, 3220, 3220,13310, 322.00, 322.00, 322.00, 322.00, 322.00, 322.00, 322.00, 322.00, 322.00, 322.00
11/08/16 16:00:05, 3225, 3225, 3225, 3225, 3225, 3225, 3225, 3225, 3225,13315, 322.50, 322.50, 322.50, 322.50, 322.50, 322.50, 322.50, 322.50, 322.50, 322.50
11/08/16 16:00:07, 3230, 3230, 3230, 3230, 3230, 3230, 3230, 3230, 3230,13320, 323.00, 323.00, 323.00, 323.00, 323.00, 323.00, 323.00, 323.00, 323.00, 323.00
11/08/16 16:00:09, 3235, 3235, 3235, 3235, 3235, 3235, 3235, 3235, 3235,13325, 323.50, 323.50, 323.50, 323.50, 323.50, 323.50, 323.50, 323.50, 323.50, 323.50
11/08/16 16:00:11, 3240, 3240, 3240, 3240, 3240, 3240, 3240, 3240, 3240,13330, 324.00, 324.00, 324.00, 324.00, 324.00, 324.00, 324.00, 324.00, 324.00, 324.00
11/08/16 16:00:13, 3245, 3245, 3245, 3245, 3245, 3245, 3245, 3245, 3245,13335, 324.50, 324.50, 324.50, 324.50, 324.50, 324.50, 324.50, 324.50, 324.50, 324.50
11/08/16 16:00:15, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250, 3250,13340, 325.00, 325.00, 325.00, 325.00, 325.00, 325.00, 325.00, 325.00, 325.00, 325.00
11/08/16 16:00:17, 3255, 3255, 3255, 3255, 3255, 3255, 3255, 3255, 3255,13345, 325.50, 325.50, 325.50, 325.50, 325.50, 325.50, 325.50, 325.50, 325.50, 325.50
11/08/16 16:00:19, 3260, 3260, 3260, 3260, 3260, 3260, 3260, 3260, 3260,13350, 326.00, 326.00, 326.00, 326.00, 326.00, 326.00, 326.00, 326.00, 326.00, 326.00
11/08/16 16:00:21, 3265, 3265, 3265, 3265, 3265, 3265, 3265, 3265, 3265,13355, 326.50, 326.50, 326.50, 326.50, 326.50, 326.50, 326.50, 326.50, 326.50, 326.50
11/08/16 16:00:23, 3270, 3270, 3270, 3270, 3270, 3270, 3270, 3270, 3270,13360, 327.00, 327.00, 327.00, 327.00, 327.00, 327.00, 327.00, 327.00, 327.00, 327.00
11/08/16 16:00:25, 3275, 3275, 3275, 3275, 3275, 3275, 3275, 3275, 3275,13365, 327.50, 327.50, 327.50, 327.50, 327.50, 327.50, 327.50, 327.50, 327.50, 327.50
11/08/16 16:00:27, 3280, 3280, 3280, 3280, 3280, 3280, 3280, 3280, 3280,13370, 328.00, 328.00, 328.00, 328.00, 328.00, 328.00, 328.00, 328.00, 328.00, 328.00
11/08/16 16:00:29, 3285, 3285, 3285, 3285, 3285, 3285, 3285, 3285, 3285,13375, 328.50, 328.50, 328.50, 328.50, 328.50, 328.50, 328.50, 328.50, 328.50, 328.50
11/08/16 16:00:31, 3290, 3290, 3290, 3290, 3290, 3290, 3290, 3290, 3290,13380, 329.00, 329.00, 329.00, 329.00, 329.00, 329.00, 329.00, 329.00, 329.00, 329.00
11/08/16 16:00:33, 3295, 3295, 3295, 3295, 3295, 3295, 3295, 3295, 3295,13385, 329.50, 329.50, 329.50, 329.50, 329.50, 329.50, 329.50, 329.50, 329.50, 329.50
11/08/16 16:00:35, 3300, 3300, 3300, 3300, 3300, 3300, 3300, 3300, 3300,13390, 330.00, 330.00, 330.00, 330.00, 330.00, 330.00, 330.00, 330.00, 330.00, 330.00
11/08/16 16:00:37, 3305, 3305, 3305, 3305, 3305, 3305, 3305, 3305, 3305,13395, 330.50, 330.50, 330.50, 330.50, 330.50, 330.50, 330.50, 330.50, 330.50, 330.50
11/08/16 16:00:39, 3310, 3310, 3310, 3310, 3310, 3310, 3310, 3310, 3310,13400, 331.00, 331.00, 331.00, 331.00, 331.00, 331.00, 331.00, 331.00, 331.00, 331.00
11/08/16 16:00:41, 3315, 3315, 3315, 3315, 3315, 3315, 3315, 3315, 3315,13405, 331.50, 331.50, 331.50, 331.50, 331.50, 331.50, 331.50, 331.50, 331.50, 331.50
11/08/16 16:00:43, 3320, 3320, 3320, 3320, 3320, 3320, 3320, 3320, 3320,13410, 332.00, 332.00, 332.00, 332.00, 332.00, 332.00, 332.00, 332.00, 332.00, 332.00
11/08/16 16:00:45, 3325, 3325, 3325, 3325, 3325, 3325, 3325, 3325, 3325,13415, 332.50, 332.50, 332.50, 332.50, 332.50, 332.50, 332.50, 332.50, 332.50, 332.50
11/08/16 16:00:47, 3330, 3330, 3330, 3330, 3330, 3330, 3330, 3330, 3330,13420, 333.00, 333.00, 333.00, 333.00, 333.00, 333.00, 333.00, 333.00, 333.00, 333.00
11/08/16 16:00:49, 3335, 3335, 3335, 3335, 3335, 3335, 3335, 3335, 3335,13425, 333.50, 333.50, 333.50, 333.50, 333.50, 333.50, 333.50, 333.50, 333.50, 333.50
11/08/16 16:00:51, 3340, 3340, 3340, 3340, 3340, 3340, 3340, 3340, 3340,13430, 334.00, 334.00, 334.00, 334.00, 334.00, 334.00, 334.00, 334.00, 334.00, 334.00
11/08/16 16:00:53, 3345, 3345, 3345, 3345, 3345, 3345, 3345, 3345, 3345,13435, 334.50, 334.50, 334.50, 334.50, 334.50, 334.50, 334.50, 334.50, 334.50, 334.50
11/08/16 16:00:55, 3350, 3350, 3350, 3350, 3350, 3350, 3350, 3350, 3350,13440, 335.00, 335.00, 335.00, 335.00, 335.00, 335.00, 335.00, 335.00, 335.00, 335.00
11/08/16 16:00:57, 3355, 3355, 3355, 3355, 3355, 3355, 3355, 3355, 3355,13445, 335.50, 335.50, 335.50, 335.50, 335.50, 335.50, 335.50, 335.50, 335.50, 335.50
11/08/16 16:00:59, 3360, 3360, 3360, 3360, 3360, 3360, 3360, 3360, 3360,13450, 336.00, 336.00, 336.00, 336.00, 336.00, 336.00, 336.00, 336.00, 336.00, 336.00
11/08/16 16:01:01, 3365, 3365, 3365, 3365, 3365, 3365, 3365, 3365, 3365,13455, 336.50, 336.50, 336.50, 336.50, 336.50, 336.50, 336.50, 336.50, 336.50, 336.50
11/08/16 16:01:03, 3370, 3370, 3370, 3370, 3370, 3370, 3370, 3370, 3370,13460, 337.00, 337.00, 337.00, 337.00, 337.00, 337.00, 337.00, 337.00, 337.00, 337.00
11/08/16 16:01:05, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3375, 3375,13465, 337.50, 337.50, 337.50, 337.50, 337.50, 337.50, 337.50, 337.50, 337.50, 337.50
11/08/16 16:01:07, 3380, 3380, 3380, 3380, 3380, 3380, 3380, 3380, 3380,13470, 338.00, 338.00, 338.00, 338.00, 338.00, 338.00, 338.00, 338.00, 338.00, 338.00
11/08/16 16:01:09, 3385, 3385, 3385, 3385, 3385, 3385, 3385, 3385, 3385,13475, 338.50, 338.50, 338.50, 338.50, 338.50, 338.50, 338.50, 338.50, 338.50, 338.50
11/08/16 16:01:11, 3390, 3390, 3390, 3390, 3390, 3390, 3390, 3390, 3390,13480, 339.00, 339.00, 339.00, 339.00, 339.00, 339.00, 339.00, 339.00, 339.00, 339.00
11/08/16 16:01:13, 3395, 3395, 3395, 3395, 3395, 3395, 3395, 3395, 3395,13485, 339.50, 339.50, 339.50, 339.50, 339.50, 339.50, 339.50, 339.50, 339.50, 339.50
11/08/16 16:01:15, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400,13490, 340.00, 340.00, 340.00, 340.00, 340.00, 340.00, 340.00, 340.00, 340.00, 340.00
11/08/16 16:01:17, 3405, 3405, 3405, 3405, 3405, 3405, 3405, 3405, 3405,13495, 340.50, 340.50, 340.50, 340.50, 340.50, 340.50, 340.50, 340.50, 340.50, 340.50
11/08/16 16:01:19, 3410, 3410, 3410, 3410, 3410, 3410, 3410, 3410, 3410,13500, 341.00, 341.00, 341.00, 341.00, 341.00, 341.00, 341.00, 341.00, 341.00, 341.00
11/08/16 16:01:21, 3415, 3415, 3415, 3415, 3415, 3415, 3415, 3415, 3415,13505, 341.50, 341.50, 341.50, 341.50, 341.50, 341.50, 341.50, 341.50, 341.50, 341.50
11/08/16 16:01:23, 3420, 3420, 3420, 3420, 3420, 3420, 3420, 3420, 3420,13510, 342.00, 342.00, 342.00, 342.00, 342.00, 342.00, 342.00, 342.00, 342.00, 342.00
11/08/16 16:01:25, 3425, 3425, 3425, 3425, 3425, 3425, 3425, 3425, 3425,13515, 342.50, 342.50, 342.50, 342.50, 342.50, 342.50, 342.50, 342.50, 342.50, 342.50
11/08/16 16:01:27, 3430, 3430, 3430, 3430, 3430, 3430, 3430, 3430, 3430,13520, 343.00, 343.00, 343.00, 343.00, 343.00, 343.00, 343.00, 343.00, 343.00, 343.00
11/08/16 16:01:29, 3435, 3435, 3435, 3435, 3435, 3435, 3435, 3435, 3435,13525, 343.50, 343.50, 343.50, 343.50, 343.50, 343.50, 343.50, 343.50, 343.50, 343.50
11/08/16 16:01:31, 3440, 3440, 3440, 3440, 3440, 3440, 3440, 3440, 3440,13530, 344.00, 344.00, 344.00, 344.00, 344.00, 344.00, 344.00, 344.00, 344.00, 344.00
11/08/16 16:01:33, 3445, 3445, 3445, 3445, 3445, 3445, 3445, 3445, 3445,13535, 344.50, 344.50, 344.50, 344.50, 344.50, 344.50, 344.50, 344.50, 344.50, 344.50
11/08/16 16:01:35, 3450, 3450, 3450, 3450, 3450, 3450, 3450, 3450, 3450,13540, 345.00, 345.00, 345.00, 345.00, 345.00, 345.00, 345.00, 345.00, 345.00, 345.00
11/08/16 16:01:37, 3455, 3455, 3455, 3455, 3455, 3455, 3455, 3455, 3455,13545, 345.50, 345.50, 345.50, 345.50, 345.50, 345.50, 345.50, 345.50, 345.50, 345.50
11/08/16 16:01:39, 3460, 3460, 3460, 3460, 3460, 3460, 3460, 3460, 3460,13550, 346.00, 346.00, 346.00, 346.00, 346.00, 346.00, 346.00, 346.00, 346.00, 346.00
11/08/16 16:01:41, 3465, 3465, 3465, 3465, 3465, 3465, 3465, 3465, 3465,13555, 346.50, 346.50, 346.50, 346.50, 346.50, 346.50, 346.50, 346.50, 346.50, 346.50
11/08/16 16:01:43, 3470, 3470, 3470, 3470, 3470, 3470, 3470, 3470, 3470,13560, 347.00, 347.00, 347.00, 347.00, 347.00, 347.00, 347.00, 347.00, 347.00, 347.00
11/08/16 16:01:46, 3475, 3475, 3475, 3475, 3475, 3475, 3475, 3475, 3475,13565, 347.50, 347.50, 347.50, 347.50, 347.50, 347.50, 347.50, 347.50, 347.50, 347.50
11/08/16 16:01:48, 3480, 3480, 3480, 3480, 3480, 3480, 3480, 3480, 3480,13570, 348.00, 348.00, 348.00, 348.00, 348.00, 348.00, 348.00, 348.00, 348.00, 348.00
11/08/16 16:01:50, 3485, 3485, 3485, 3485, 3485, 3485, 3485, 3485, 3485,13575, 348.50, 348.50, 348.50, 348.50, 348.50, 348.50, 348.50, 348.50, 348.50, 348.50
11/08/16 16:01:51, 3490, 3490, 3490, 3490, 3490, 3490, 3490, 3490, 3490,13580, 349.00, 349.00, 349.00, 349.00, 349.00, 349.00, 349.00, 349.00, 349.00, 349.00
11/08/16 16:01:54, 3495, 3495, 3495, 3495, 3495, 3495, 3495, 3495, 3495,13585, 349.50, 349.50, 349.50, 349.50, 349.50, 349.50, 349.50, 349.50, 349.50, 349.50
11/08/16 16:01:56, 3500, 3500, 3500, 3500, 3500, 3500, 3500, 3500, 3500,13590, 350.00, 350.00, 350.00, 350.00, 350.00, 350.00, 350.00, 350.00, 350.00, 350.00
11/08/16 16:01:57, 3505, 3505, 3505, 3505, 3505, 3505, 3505, 3505, 3505,13595, 350.50, 350.50, 350.50, 350.50, 350.50, 350.50, 350.50, 350.50, 350.50, 350.50
11/08/16 16:02:00, 3510, 3510, 3510, 3510, 3510, 3510, 3510, 3510, 3510,13600, 351.00, 351.00, 351.00, 351.00, 351.00, 351.00, 351.00, 351.00, 351.00, 351.00
11/08/16 16:02:01, 3515, 3515, 3515, 3515, 3515, 3515, 3515, 3515, 3515,13605, 351.50, 351.50, 351.50, 351.50, 351.50, 351.50, 351.50, 351.50, 351.50, 351.50
11/08/16 16:02:04, 3520, 3520, 3520, 3520, 3520, 3520, 3520, 3520, 3520,13610, 352.00, 352.00, 352.00, 352.00, 352.00, 352.00, 352.00, 352.00, 352.00, 352.00
11/08/16 16:02:06, 3525, 3525, 3525, 3525, 3525, 3525, 3525, 3525, 3525,13615, 352.50, 352.50, 352.50, 352.50, 352.50, 352.50, 352.50, 352.50, 352.50, 352.50
11/08/16 16:02:07, 3530, 3530, 3530, 3530, 3530, 3530, 3530, 3530, 3530,13620, 353.00, 353.00, 353.00, 353.00, 353.00, 353.00, 353.00, 353.00, 353.00, 353.00
11/08/16 16:02:10, 3535, 3535, 3535, 3535, 3535, 3535, 3535, 3535, 3535,13625, 353.50, 353.50, 353.50, 353.50, 353.50, 353.50, 353.50, 353.50, 353.50, 353.50
11/08/16 16:02:12, 3540, 3540, 3540, 3540, 3540, 3540, 3540, 3540, 3540,13630, 354.00, 354.00, 354.00, 354.00, 354.00, 354.00, 354.00, 354.00, 354.00, 354.00
11/08/16 16:02:14, 3545, 3545, 3545, 3545, 3545, 3545, 3545, 3545, 3545,13635, 354.50, 354.50, 354.50, 354.50, 354.50, 354.50, 354.50, 354.50, 354.50, 354.50
11/08/16 16:02:16, 3550, 3550, 3550, 3550, 3550, 3550, 3550, 3550, 3550,13640, 355.00, 355.00, 355.00, 355.00, 355.00, 355.00, 355.00, 355.00, 355.00, 355.00
11/08/16 16:02:18, 3555, 3555, 3555, 3555, 3555, 3555, 3555, 3555, 3555,13645, 355.50, 355.50, 355.50, 355.50, 355.50, 355.50, 355.50, 355.50, 355.50, 355.50
11/08/16 16:02:20, 3560, 3560, 3560, 3560, 3560, 3560, 3560, 3560, 3560,13650, 356.00, 356.00, 356.00, 356.00, 356.00, 356.00, 356.00, 356.00, 356.00, 356.00
11/08/16 16:02:22, 3565, 3565, 3565, 3565, 3565, 3565, 3565, 3565, 3565,13655, 356.50, 356.50, 356.50, 356.50, 356.50, 356.50, 356.50, 356.50, 356.50, 356.50
11/08/16 16:02:24, 3570, 3570, 3570, 3570, 3570, 3570, 3570, 3570, 3570,13660, 357.00, 357.00, 357.00, 357.00, 357.00, 357.00, 357.00, 357.00, 357.00, 357.00
11/08/16 16:02:26, 3575, 3575, 3575, 3575, 3575, 3575, 3575, 3575, 3575,13665, 357.50, 357.50, 357.50, 357.50, 357.50, 357.50, 357.50, 357.50, 357.50, 357.50
11/08/16 16:02:28, 3580, 3580, 3580, 3580, 3580, 3580, 3580, 3580, 3580,13670, 358.00, 358.00, 358.00, 358.00, 358.00, 358.00, 358.00, 358.00, 358.00, 358.00
11/08/16 16:02:30, 3585, 3585, 3585, 3585, 3585, 3585, 3585, 3585, 3585,13675, 358.50, 358.50, 358.50, 358.50, 358.50, 358.50, 358.50, 358.50, 358.50, 358.50
11/08/16 16:02:32, 3590, 3590, 3590, 3590, 3590, 3590, 3590, 3590, 3590,13680, 359.00, 359.00, 359.00, 359.00, 359.00, 359.00, 359.00, 359.00, 359.00, 359.00
11/08/16 16:02:34, 3595, 3595, 3595, 3595, 3595, 3595, 3595, 3595, 3595,13685, 359.50, 359.50, 359.50, 359.50, 359.50, 359.50, 359.50, 359.50, 359.50, 359.50
11/08/16 16:02:36, 3600, 3600, 3600, 3600, 3600, 3600, 3600, 3600, 3600,13690, 360.00, 360.00, 360.00, 360.00, 360.00, 360.00, 360.00, 360.00, 360.00, 360.00
11/08/16 16:02:38, 3605, 3605, 3605, 3605, 3605, 3605, 3605, 3605, 3605,13695, 360.50, 360.50, 360.50, 360.50, 360.50, 360.50, 360.50, 360.50, 360.50, 360.50
11/08/16 16:02:40, 3610, 3610, 3610, 3610, 3610, 3610, 3610, 3610, 3610,13700, 361.00, 361.00, 361.00, 361.00, 361.00, 361.00, 361.00, 361.00, 361.00, 361.00
11/08/16 16:02:42, 3615, 3615, 3615, 3615, 3615, 3615, 3615, 3615, 3615,13705, 361.50, 361.50, 361.50, 361.50, 361.50, 361.50, 361.50, 361.50, 361.50, 361.50
11/08/16 16:02:44, 3620, 3620, 3620, 3620, 3620, 3620, 3620, 3620, 3620,13710, 362.00, 362.00, 362.00, 362.00, 362.00, 362.00, 362.00, 362.00, 362.00, 362.00
11/08/16 16:02:46, 3625, 3625, 3625, 3625, 3625, 3625, 3625, 3625, 3625,13715, 362.50, 362.50, 362.50, 362.50, 362.50, 362.50, 362.50, 362.50, 362.50, 362.50
11/08/16 16:02:48, 3630, 3630, 3630, 3630, 3630, 3630, 3630, 3630, 3630,13720, 363.00, 363.00, 363.00, 363.00, 363.00, 363.00, 363.00, 363.00, 363.00, 363.00
11/08/16 16:02:50, 3635, 3635, 3635, 3635, 3635, 3635, 3635, 3635, 3635,13725, 363.50, 363.50, 363.50, 363.50, 363.50, 363.50, 363.50, 363.50, 363.50, 363.50
11/08/16 16:02:52, 3640, 3640, 3640, 3640, 3640, 3640, 3640, 3640, 3640,13730, 364.00, 364.00, 364.00, 364.00, 364.00, 364.00, 364.00, 364.00, 364.00, 364.00
11/08/16 16:02:54, 3645, 3645, 3645, 3645, 3645, 3645, 3645, 3645, 3645,13735, 364.50, 364.50, 364.50, 364.50, 364.50, 364.50, 364.50, 364.50, 364.50, 364.50
11/08/16 16:02:56, 3650, 3650, 3650, 3650, 3650, 3650, 3650, 3650, 3650,13740, 365.00, 365.00, 365.00, 365.00, 365.00, 365.00, 365.00, 365.00, 365.00, 365.00
11/08/16 16:02:58, 3655, 3655, 3655, 3655, 3655, 3655, 3655, 3655, 3655,13745, 365.50, 365.50, 365.50, 365.50, 365.50, 365.50, 365.50, 365.50, 365.50, 365.50
11/08/16 16:03:00, 3660, 3660, 3660, 3660, 3660, 3660, 3660, 3660, 3660,13750, 366.00, 366.00, 366.00, 366.00, 366.00, 366.00, 366.00, 366.00, 366.00, 366.00
11/08/16 16:03:02, 3665, 3665, 3665, 3665, 3665, 3665, 3665, 3665, 3665,13755, 366.50, 366.50, 366.50, 366.50, 366.50, 366.50, 366.50, 366.50, 366.50, 366.50
11/08/16 16:03:04, 3670, 3670, 3670, 3670, 3670, 3670, 3670, 3670, 3670,13760, 367.00, 367.00, 367.00, 367.00, 367.00, 367.00, 367.00, 367.00, 367.00, 367.00
